time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6
20210314_120000,523,73,6,63,4,0,0.8646,0.8789,1.0,0.0,0.0,0.0,0.0,,
20210314_120000,523,73,4,67,4,9,0.09083,0.1052,-0.1888,0.0,0.5705,1.012,0.7478,,
20210314_120000,523,73,6,63,4,9,0.001333,-0.003717,-0.1888,0.0,0.5705,1.012,0.7478,,
20210314_120000,523,73,6,63,4,10,0.3028,0.3021,0.2592,0.0,0.5899,0.7478,0.7092,,
20210314_120000,523,73,11,67,6,0,-0.7669,-0.7753,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_120000,523,73,11,67,6,1,0.4402,0.4496,-1.108,0.0,0.03273,-0.02452,0.08529,0.1055,0.1013
20210314_120000,523,73,11,67,6,2,-0.4047,-0.4124,0.6534,0.0,-0.02452,0.02479,-0.08477,-0.1009,-0.09489
20210314_120000,523,73,11,67,6,8,-0.2969,-0.2989,0.2594,0.0,0.08529,-0.08477,0.6616,0.5705,0.5899
20210314_120000,523,73,11,67,6,9,0.004154,0.003665,-0.1888,0.0,0.1055,-0.1009,0.5705,1.012,0.7478
20210314_120000,523,73,11,67,6,10,-0.2799,-0.2832,0.2592,0.0,0.1013,-0.09489,0.5899,0.7478,0.7092
20210314_120000,523,73,6,63,4,8,0.3384,0.3377,0.2594,0.0,0.6616,0.5705,0.5899,,
20210314_120000,523,73,12,63,6,0,-0.7198,-0.7247,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_180000,223,15,5,398,5,8,0.02242,0.009936,-0.1953,0.0,0.04091,1.005,0.03498,0.8879,
20210314_180000,223,15,5,398,5,9,0.1962,0.182,-0.034,0.0,0.139,0.03498,0.9122,0.02702,
20210314_180000,223,15,5,398,5,10,0.07393,0.06163,-0.185,0.0,0.006068,0.8879,0.02702,0.9327,
20210314_180000,223,15,5,398,5,1,0.07539,0.0507,-0.9923,0.0,0.06336,0.04091,0.139,0.006068,
20210314_180000,223,15,5,398,5,0,-0.9128,-0.8895,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_180000,223,15,4,439,5,9,0.07066,0.07047,-0.034,0.0,0.139,0.03498,0.9122,0.02702,
20210314_180000,223,15,4,439,5,10,0.05572,0.05172,-0.185,0.0,0.006068,0.8879,0.02702,0.9327,
20210314_180000,223,3,6,116,5,0,-0.3103,-0.3113,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_180000,223,3,6,116,5,1,-0.05497,-0.05401,-1.037,0.0,0.06275,0.07687,0.0859,0.04443,
20210314_180000,223,3,6,116,5,9,-0.09401,-0.09366,-0.3891,0.0,0.0859,0.01708,0.4088,0.002377,
20210314_180000,223,3,6,116,5,10,-0.1053,-0.1047,-0.1953,0.0,0.04443,0.4058,0.002377,0.2816,
20210314_180000,223,3,9,307,5,0,-0.02054,-0.02065,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_180000,223,3,6,116,5,8,0.02209,0.02302,-0.2031,0.0,0.07687,0.684,0.01708,0.4058,
20210314_180000,223,3,9,307,5,8,-0.3143,-0.3137,-0.2031,0.0,0.07687,0.684,0.01708,0.4058,
20210314_180000,223,3,9,307,5,9,-0.001631,-0.001293,-0.3891,0.0,0.0859,0.01708,0.4088,0.002377,
20210314_180000,223,3,9,307,5,10,0.1947,0.1946,-0.1953,0.0,0.04443,0.4058,0.002377,0.2816,
20210314_180000,223,15,4,439,5,0,0.02259,0.01134,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_180000,223,15,4,439,5,1,-0.04536,-0.03394,-0.9923,0.0,0.06336,0.04091,0.139,0.006068,
20210314_180000,223,15,4,439,5,8,-0.003957,-0.009606,-0.1953,0.0,0.04091,1.005,0.03498,0.8879,
20210314_180000,223,3,9,307,5,1,0.188,0.1879,-1.037,0.0,0.06275,0.07687,0.0859,0.04443,
20210314_210000,5,3,7,99,5,0,-0.7446,-0.7461,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_210000,5,3,8,253,5,1,0.005978,0.007025,-0.9564,0.0,0.0825,0.1018,-0.04823,0.04448,
20210314_210000,5,3,8,253,5,0,-0.1971,-0.1979,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_210000,5,3,7,99,5,10,0.01559,0.01197,-0.1956,0.0,0.04448,0.3783,-0.00674,0.2659,
20210314_210000,5,3,7,99,5,9,0.1265,0.1244,-0.4404,0.0,-0.04823,-0.0215,0.4176,-0.00674,
20210314_210000,5,3,7,99,5,8,0.02696,0.02233,-0.1501,0.0,0.1018,0.6361,-0.0215,0.3783,
20210314_210000,5,3,7,99,5,1,0.1951,0.1952,-0.9564,0.0,0.0825,0.1018,-0.04823,0.04448,
20210314_210000,5,3,6,94,5,10,0.003755,0.0009093,-0.1956,0.0,0.04448,0.3783,-0.00674,0.2659,
20210314_210000,3,15,5,199,5,8,0.1194,0.1065,-0.1474,0.0,-0.1223,0.8685,0.1254,0.7229,
20210314_210000,5,3,6,94,5,8,0.005929,0.002324,-0.1501,0.0,0.1018,0.6361,-0.0215,0.3783,
20210314_210000,5,3,6,94,5,1,0.1932,0.1947,-0.9564,0.0,0.0825,0.1018,-0.04823,0.04448,
20210314_210000,5,3,6,94,5,0,-0.5632,-0.5655,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_210000,3,15,5,199,5,10,-0.06829,-0.07797,-0.1223,0.0,-0.0729,0.7229,0.1699,0.7341,
20210314_210000,3,15,5,199,5,9,0.1018,0.09923,-0.1828,0.0,0.1233,0.1254,0.8298,0.1699,
20210314_210000,5,3,8,253,5,8,-0.00634,-0.006488,-0.1501,0.0,0.1018,0.6361,-0.0215,0.3783,
20210314_210000,3,15,5,199,5,1,0.1778,0.1662,-0.9778,0.0,0.06169,-0.1223,0.1233,-0.0729,
